target_hours,confidence,quiz_score,difficulty,actual_ttm
12,6,72,5,14.66
17,8,95,4,17.0
8,3,42,5,11.7
11,8,93,1,9.44
4,1,58,5,5.91
19,9,62,4,20.75
14,9,68,3,14.25
8,5,69,3,9.39
5,10,78,5,5.19
14,4,83,2,15.51
2,6,86,3,2.13
9,7,64,5,10.93
15,5,76,4,17.94
17,10,86,5,17.1
15,9,47,3,16.53
13,3,81,4,16.33
16,7,97,5,17.31
3,10,55,1,2.79
3,10,47,4,3.34
18,5,40,1,21.42
11,7,83,2,10.87
7,2,44,4,10.11
16,4,42,1,19.55
12,2,40,3,16.92
6,7,43,3,7.19
2,2,79,2,2.41
9,1,74,4,12.28
13,9,71,4,13.73
13,1,81,4,17.37
6,8,73,2,5.93
8,2,82,4,10.34
5,8,64,3,5.37
7,3,49,1,8.64
14,6,60,3,16.38
16,3,85,3,19.04
4,7,78,1,3.83
9,10,66,3,8.87
17,9,66,2,16.59
14,2,41,1,18.28
19,5,80,3,21.47
11,6,87,5,12.78
18,4,52,3,23.08
6,4,48,2,7.49
10,4,91,4,11.76
13,2,75,3,16.51
2,4,61,4,2.59
2,1,81,5,2.77
16,6,65,3,18.4
3,1,97,1,3.37
17,10,93,4,15.78
9,6,51,5,11.75
14,1,56,1,18.0
2,6,53,1,2.2
17,10,53,1,15.95
8,8,96,1,6.77
6,2,73,3,7.67
4,2,92,3,4.81
13,4,96,3,14.38
17,3,59,5,23.7
6,4,50,5,8.34
15,7,55,5,18.75
6,1,90,2,7.2
16,6,70,5,19.68
18,3,94,3,20.77
15,10,45,3,16.05
6,7,95,2,5.64
13,10,58,2,12.58
17,2,76,5,23.22
17,2,97,4,20.94
8,4,43,2,10.14
5,1,86,1,5.83
2,3,100,3,2.26
6,9,43,1,6.11
11,7,59,3,12.47
6,7,49,3,7.04
5,4,63,2,5.94
3,2,93,2,3.44
11,4,74,1,12.03
2,6,65,3,2.3
6,3,76,1,6.76
14,1,77,4,18.93
5,8,60,1,4.95
17,5,93,5,20.03
17,5,79,1,17.58
3,4,78,5,3.83
18,6,60,5,22.86
13,3,49,5,18.64
19,9,77,4,19.61
4,5,85,1,4.04
2,3,43,1,2.52
2,1,99,4,2.53
12,10,96,3,10.39
6,6,84,2,6.14
13,2,59,1,16.04
4,3,56,2,5.02
2,1,94,4,2.57
2,9,46,3,2.21
9,8,43,3,10.42
11,2,68,3,14.28
12,8,53,4,14.02
13,9,42,5,15.89
14,1,63,5,20.41
13,5,76,2,14.25
15,8,55,5,18.15
3,2,97,5,3.85
19,4,94,3,21.17
4,7,91,3,4.02
18,3,43,2,23.54
9,5,95,1,8.73
11,8,63,2,11.31
3,10,73,2,2.72
10,3,69,4,13.04
8,4,57,4,10.5
5,9,58,2,5.04
19,7,70,2,19.76
14,1,99,2,16.3
12,4,99,5,14.33
5,4,58,4,6.54
5,9,88,2,4.44
11,6,85,3,11.77
6,9,58,3,6.35
10,6,61,5,12.66
4,6,63,5,5.03
18,5,84,1,18.25
4,5,51,1,4.58
17,2,69,1,20.3
5,8,97,5,5.21
19,8,77,5,21.32
18,1,92,5,24.16
8,8,70,3,8.4
6,5,75,5,7.5
13,2,58,3,17.39
18,2,87,1,20.2
14,6,84,1,13.64
4,9,75,1,3.56
10,1,69,2,12.84
18,6,94,2,17.71
18,9,88,4,17.78
17,8,94,4,17.07
14,6,72,4,16.41
18,3,57,2,22.54
5,8,91,2,4.58
13,9,88,4,12.84
10,1,98,4,12.68
13,9,67,5,14.59
10,6,98,4,10.68
8,6,86,5,9.33
15,4,50,3,19.35
16,1,96,2,18.82
17,10,99,4,15.37
6,8,93,2,5.45
4,2,84,2,4.74
13,1,72,2,16.54
5,2,56,3,6.73
17,1,45,1,22.61
8,1,43,4,11.9
14,9,59,1,13.36
11,1,87,1,12.78
8,4,86,1,8.37
15,10,66,2,14.04
6,6,54,5,7.76
4,7,45,2,4.56
12,2,86,2,14.11
12,6,53,1,13.18
19,7,99,2,17.56
16,10,50,1,15.2
13,10,78,5,13.49
10,2,48,4,14.28
11,2,65,1,13.31
13,10,55,5,14.69
18,7,44,4,22.39
7,1,96,3,8.58
8,8,91,1,6.93
15,3,100,1,15.45
14,6,49,3,17.0
9,9,89,3,8.41
11,6,42,1,12.56
10,9,52,3,10.82
19,7,82,2,18.85
3,9,88,4,2.96
6,2,69,4,8.06
6,8,93,4,6.05
7,8,84,2,6.61
9,2,45,3,12.51
17,4,56,5,23.22
14,7,98,3,13.69
2,4,84,1,2.11
18,4,90,4,21.24
8,6,92,3,8.34
14,10,58,5,15.65
5,6,81,1,4.93
5,10,74,2,4.52
7,3,85,2,7.98
13,9,65,5,14.69
8,10,90,1,6.32
11,2,44,4,15.88
8,6,68,3,9.1
4,7,76,1,3.86
14,9,59,2,14.06
14,3,88,5,17.89
19,10,60,5,21.09
9,3,49,3,12.01
10,7,44,5,12.94
8,4,75,5,10.32
2,8,45,1,2.1
4,7,65,4,4.64
14,5,43,3,17.89
18,7,78,1,17.24
2,3,78,4,2.54
7,2,89,1,7.8
7,6,74,1,7.1
13,2,40,5,19.63
14,3,63,4,18.59
14,6,96,3,14.36
16,5,75,3,18.4
17,8,45,4,20.4
12,9,80,5,12.84
6,3,93,2,6.65
5,10,85,1,4.05
4,3,99,5,4.94
19,3,83,4,23.71
16,6,99,1,14.62
10,1,96,3,12.26
18,7,70,2,18.72
15,1,59,3,20.61
16,5,63,4,19.97
2,10,64,1,1.79
4,8,75,4,4.32
17,4,60,1,19.55
12,5,69,5,15.29
13,4,63,2,15.44
11,4,83,5,13.84
17,8,81,5,18.8
9,2,69,4,12.1
7,1,61,2,9.21
13,3,67,1,15.11
9,9,46,1,9.05
5,4,74,3,5.97
9,10,94,1,6.97
19,5,67,4,23.41
6,2,53,5,8.75
10,4,95,5,12.1
5,2,49,5,7.37
18,2,55,2,23.4
10,4,55,1,11.7
2,6,93,4,2.18
14,7,70,2,14.56
17,10,81,3,15.74
14,3,64,4,18.54
15,3,52,4,20.58
4,10,45,4,4.48
7,6,83,5,8.25
19,3,48,4,26.37
6,2,84,1,6.8
16,8,75,4,17.28
3,5,95,5,3.51
11,1,82,4,14.65
19,3,59,3,24.59
14,10,57,3,14.31
6,8,97,5,6.25
2,4,82,1,2.12
2,7,96,1,1.77
19,10,60,2,18.24
16,2,43,5,23.97
18,7,89,4,19.15
12,5,72,5,15.14
18,5,66,2,20.45
14,6,46,5,18.56
2,9,45,5,2.42
3,6,54,2,3.43
10,8,57,1,10.02
4,7,71,4,4.54
2,9,95,2,1.72
17,4,50,3,21.93
7,2,59,1,8.64
18,7,63,3,20.12
6,6,54,1,6.56
6,1,87,4,7.87
7,9,46,4,8.09
4,9,60,5,4.6
6,2,81,3,7.48
6,3,65,1,7.02
11,5,83,4,12.85
11,5,95,2,11.22
18,1,53,4,26.06
15,8,96,2,13.44
10,8,76,1,9.26
15,4,97,4,17.28
2,7,60,4,2.36
14,10,57,1,12.91
14,3,44,4,19.66
5,6,42,2,5.96
2,10,62,4,2.1
18,10,65,3,17.82
9,9,76,5,9.77
3,1,63,2,3.92
9,5,88,3,9.88
8,4,58,1,9.26
3,8,90,2,2.76
4,1,64,5,5.82
19,9,60,5,21.85
13,6,51,1,14.38
2,4,96,1,2.01
13,9,100,2,10.92
6,5,80,4,7.08
18,5,72,1,19.12
17,5,89,4,19.45
16,1,92,3,19.87
16,1,43,5,24.61
6,8,81,4,6.34
15,8,96,5,15.69
3,6,46,4,3.83
12,4,61,3,14.95
8,2,94,1,8.75
7,2,72,3,8.97
3,9,56,1,2.9
7,5,63,1,7.69
19,4,100,5,22.61
3,10,100,3,2.55
19,1,73,4,25.99
16,7,67,3,17.63
3,3,97,5,3.73
7,6,82,1,6.87
2,5,80,5,2.46
16,5,78,2,17.41
11,5,61,2,12.72
18,1,88,4,23.54
6,1,56,5,8.92
5,3,73,4,6.44
11,10,45,4,12.32
18,4,85,2,19.8
11,5,45,4,14.52
18,2,73,2,22.1
6,8,40,1,6.42
3,2,49,5,4.42
7,9,60,4,7.7
3,2,44,2,4.03
14,9,41,3,15.76
12,7,61,4,14.11
12,8,87,1,10.58
17,2,96,1,18.46
12,7,41,3,14.47
16,6,49,2,18.62
17,4,73,4,21.22
12,7,55,2,13.2
17,4,87,1,17.71
9,2,90,2,10.44
5,10,100,1,3.75
9,7,78,2,9.07
5,8,61,3,5.43
4,2,51,5,5.86
4,5,63,3,4.79
19,1,86,3,24.05
6,7,79,5,6.92
19,8,77,5,21.32
11,6,99,4,11.7
7,5,98,4,7.76
2,6,49,3,2.43
6,2,74,3,7.64
10,1,90,1,11.5
13,7,88,1,11.93
15,7,71,4,17.04
3,10,46,4,3.35
18,10,60,1,16.38
15,2,59,1,18.51
14,2,65,2,17.64
10,1,43,2,13.88
16,10,85,1,12.96
16,8,91,2,14.66
12,8,61,5,14.23
17,1,54,4,24.55
18,8,95,4,18.0
5,9,79,1,4.37
2,4,60,3,2.5
9,1,54,1,11.65
18,1,61,2,23.69
4,3,91,3,4.66
16,5,67,2,18.11
16,5,53,5,21.41
15,9,66,2,14.64
15,10,100,5,14.25
3,2,80,5,4.05
14,2,79,2,16.86
15,6,97,2,14.58
8,9,67,5,8.98
4,1,65,3,5.4
16,9,88,5,16.61
15,9,41,4,17.64
12,9,64,5,13.61
16,5,95,3,17.12
14,9,42,4,16.41
19,4,47,1,22.84
7,2,83,1,7.97
4,6,72,3,4.49
16,4,81,5,20.26
6,6,91,2,5.98
11,3,74,3,13.57
8,6,45,4,10.24
18,2,78,4,23.54
8,2,91,1,8.85
13,9,62,4,14.2
18,7,64,3,20.05
14,3,98,4,16.63
5,1,89,3,6.27
11,8,82,2,10.47
4,6,58,1,4.31
10,7,44,4,12.44
14,9,90,3,13.02
19,5,50,5,25.65
16,1,95,1,18.08
5,10,51,2,4.98
16,7,49,3,18.78
3,5,47,2,3.64
16,3,63,2,19.65
9,9,99,4,8.5
9,1,67,4,12.53
18,1,80,3,23.22
13,1,75,5,18.33
11,3,76,3,13.49
10,6,60,5,12.7
6,10,47,2,6.07
7,3,94,1,7.38
3,8,48,3,3.41
14,10,86,3,12.68
7,2,54,5,10.18
6,9,87,2,5.35
2,3,85,2,2.28
7,5,79,5,8.64
7,10,57,2,6.8
17,8,81,4,17.95
5,2,99,1,5.37
12,6,59,3,14.09
10,5,45,1,11.7
4,10,51,3,4.18
9,9,41,4,10.58
6,5,46,2,7.3
5,2,55,5,7.25
7,5,42,4,9.32
3,4,84,1,3.16
12,7,42,5,15.62
5,6,66,2,5.48
16,2,89,4,20.22
7,5,82,5,8.55
18,7,79,4,19.87
7,7,77,4,7.78
3,5,72,2,3.34
16,9,67,3,16.35
12,4,40,5,17.16
9,3,94,2,9.94
14,4,47,4,18.93
13,5,76,2,14.25
6,6,71,3,6.76
7,3,99,5,8.64
5,2,87,3,6.11
2,4,82,1,2.12
18,5,76,5,22.43
13,4,43,3,17.13
16,3,69,4,20.86
2,8,45,5,2.5
15,10,85,5,15.15
7,4,93,2,7.48
6,2,58,4,8.33
12,2,71,1,14.23
5,1,48,3,7.09
14,4,51,2,17.3
12,10,50,3,12.6
4,9,85,1,3.4
2,7,94,1,1.79
7,10,55,5,7.91
19,7,40,1,21.09
11,7,84,3,11.37
6,8,94,4,6.02
11,1,92,4,14.21
13,10,60,5,14.43
3,10,69,3,2.92
14,8,52,3,15.71
9,4,73,1,9.88
3,4,43,3,3.95
2,4,67,2,2.34
6,6,77,1,6.01
10,7,97,2,9.32
18,6,70,5,22.14
10,1,98,4,12.68
12,8,94,5,12.65
16,10,66,4,16.58
7,7,44,5,9.06
4,6,64,3,4.62
18,6,42,2,21.46
6,5,72,4,7.27
13,6,43,1,14.79
19,9,64,2,18.7
15,10,59,1,13.71
12,9,73,2,11.38
10,10,65,2,9.4
3,8,44,5,3.76
13,10,74,4,13.05
4,9,100,4,3.76
4,10,67,2,3.73
2,8,68,3,2.12
9,8,48,3,10.24
9,1,91,1,10.31
12,10,77,1,10.1
10,5,89,5,11.94
6,4,45,2,7.56
15,2,58,1,18.57
4,8,99,1,3.34
6,3,83,2,6.89
6,4,96,5,7.24
15,7,50,1,16.05
5,10,41,5,5.93
14,9,86,4,13.94
11,2,83,5,14.72
19,3,83,3,22.76
9,4,48,3,11.68
9,10,60,5,9.99
8,1,63,3,10.86
9,7,73,4,10.15
15,2,61,2,19.14
7,5,42,3,8.97
2,1,51,3,2.81
16,3,67,5,21.79
2,2,69,4,2.69
18,1,65,2,23.4
2,7,87,5,2.24
16,5,60,5,20.96
3,1,67,4,4.18
15,6,95,2,14.7
9,5,65,4,11.16
9,3,72,2,10.73
8,7,60,4,9.44
7,10,74,5,7.38
7,9,91,5,7.18
4,9,73,1,3.59
8,9,80,3,7.76
9,2,90,4,11.34
11,3,86,1,11.95
16,7,57,3,18.27
16,5,97,4,17.79
2,2,50,2,2.64
8,3,96,3,9.17
5,10,62,5,5.51
7,6,87,1,6.73
2,7,61,3,2.25
6,9,56,3,6.4
2,1,44,5,3.07
5,7,83,4,5.44
3,8,50,2,3.24
11,3,69,5,14.89
6,4,54,2,7.34
11,10,66,4,11.4
2,6,74,3,2.23
7,10,72,2,6.38
14,7,59,1,14.48
16,4,100,1,15.84
5,8,55,5,6.05
14,5,73,4,16.91
16,1,41,5,24.74
9,4,74,5,11.65
6,3,79,5,7.88
16,9,95,1,12.96
5,8,67,1,4.81
13,1,86,5,17.76
14,6,78,1,13.97
3,9,45,4,3.48
5,7,48,5,6.39
5,4,59,1,5.77
12,1,99,2,13.97
6,2,40,5,9.06
12,5,47,5,16.34
11,5,94,4,12.36
9,8,62,3,9.74
7,6,42,3,8.69
7,8,43,4,8.46
9,2,97,4,11.09
16,3,64,4,21.18
15,6,86,3,15.99
12,10,77,4,11.9
13,3,54,1,15.78
14,6,60,5,17.78
9,6,74,5,10.93
19,2,96,2,21.58
2,7,92,2,1.9
16,2,92,5,20.83
9,6,85,1,8.73
12,1,91,3,14.95
13,3,53,3,17.13
13,2,75,1,15.21
5,7,51,3,5.83
17,4,56,4,22.37
5,8,78,5,5.59
6,6,48,5,7.91
6,10,74,1,5.12
9,4,99,3,9.85
11,5,52,2,13.11
18,9,54,2,18.43
10,7,57,3,11.42
15,10,90,2,12.6
9,9,72,1,8.12
10,7,45,1,10.9
12,1,98,3,14.62
2,8,66,2,2.03
15,4,62,1,17.13
6,3,98,1,6.23
15,7,66,4,17.34
5,3,73,4,6.44
2,8,95,1,1.7
9,6,85,3,9.63
16,5,77,5,19.87
16,4,53,5,22.05
10,8,75,1,9.3
10,8,92,1,8.62
11,1,47,1,14.54
10,9,74,3,9.94
4,5,58,4,5.07
12,4,69,1,13.37
7,6,53,1,7.69
3,6,98,2,2.9
8,2,59,3,10.67
19,8,88,1,16.68
3,7,64,2,3.19
18,1,79,5,25.09
12,5,63,1,13.18
13,6,53,1,14.27
8,4,65,2,9.44
7,2,77,3,8.83
2,4,62,1,2.28
18,1,61,5,26.39
12,7,87,1,11.06
19,2,96,5,24.43
18,2,58,4,24.98
8,9,85,4,8.0
18,5,90,5,21.42
10,2,42,3,14.02
18,9,81,1,15.59
9,9,58,1,8.62
18,1,48,4,26.42
8,3,67,5,10.9
2,4,59,1,2.31
14,7,84,1,13.08
18,10,46,3,19.19
14,4,53,2,17.19
17,2,48,4,24.28
9,7,98,4,9.25
19,6,99,2,18.32
2,3,94,1,2.11
15,6,96,3,15.39
16,6,99,3,16.22
19,5,58,4,24.09
3,4,86,3,3.44
18,10,91,2,15.05
19,1,53,1,24.66
7,10,95,2,5.74
5,6,77,5,6.01
2,2,92,4,2.5
9,3,100,3,10.17
8,8,75,5,9.04
4,10,79,3,3.74
11,6,56,1,11.95
11,3,69,1,12.69
15,7,48,1,16.17
3,4,72,3,3.61
2,9,95,5,2.02
19,5,91,1,18.73
8,3,64,5,10.99
9,2,53,3,12.22
2,2,50,5,2.94
4,3,92,3,4.65
9,2,74,3,11.47
16,4,80,4,19.52
6,2,98,3,7.07
4,10,53,3,4.15
2,9,69,2,1.93
16,2,80,1,18.4
9,9,43,4,10.51
3,6,98,4,3.2
4,1,43,4,5.95
15,4,67,2,17.58
15,1,47,3,21.33
12,6,41,1,13.75
17,4,80,5,21.59
5,3,100,3,5.65
6,3,85,2,6.84
15,9,61,3,15.69
17,6,80,3,18.53
19,9,95,2,16.34
8,5,94,4,8.99
11,2,55,4,15.4
8,8,68,1,7.66
2,5,88,1,2.0
17,2,87,4,21.62
5,4,69,5,6.57
19,9,51,3,20.63
3,4,74,5,3.88
2,4,50,3,2.58
16,2,85,4,20.48
6,6,89,1,5.72
12,2,60,1,14.76
11,7,60,5,13.53
3,3,44,1,3.76
4,3,87,4,4.93
13,5,59,5,17.08
6,3,76,3,7.36
6,2,42,1,7.81
7,10,83,2,6.08
10,9,72,1,9.02
3,2,92,3,3.61
13,2,100,5,16.51
4,8,48,3,4.55
13,9,100,2,10.92
18,7,48,4,22.1
11,3,43,1,13.84
15,9,74,5,16.41
18,3,56,4,24.41
19,5,73,3,22.0
18,9,63,5,20.48
15,3,71,4,19.44
10,7,40,5,13.1
9,1,47,2,12.35
3,4,84,2,3.31
