user_est,difficulty,quiz_score,confidence,pttm,eer
10.97,4,28.27,1,19.95,1.82
4.32,2,4.46,1,7.11,1.65
5.56,5,3.63,1,11.79,2.12
11.45,3,27.57,3,17.64,1.54
10.09,1,27.56,4,12.98,1.29
12.89,1,78.71,1,15.37,1.19
10.21,1,97.48,1,11.56,1.13
8.96,2,37.12,2,13.28,1.48
2.31,4,42.89,3,3.72,1.61
6.15,5,84.48,1,11.02,1.79
4.71,3,26.81,2,7.91,1.68
4.42,3,15.64,5,6.41,1.45
14.62,2,85.31,1,19.8,1.35
6.5,1,4.65,1,9.78,1.5
13.49,2,61.97,2,17.49,1.3
9.84,4,56.2,3,16.05,1.63
12.13,4,34.59,1,23.65,1.95
8.04,5,31.52,5,13.71,1.71
9.08,5,77.19,1,16.82,1.85
7.9,4,8.64,5,13.27,1.68
3.73,4,23.68,4,5.97,1.6
11.11,4,73.24,4,17.24,1.55
4.93,2,54.83,5,5.77,1.17
1.34,4,12.8,3,2.51,1.87
10.04,3,88.21,1,14.66,1.46
3.48,1,39.34,1,5.16,1.48
14.17,4,82.79,4,20.8,1.47
14.36,1,78.77,5,13.54,0.94
13.81,2,62.44,1,20.19,1.46
6.18,1,49.45,1,8.28,1.34
1.22,2,97.96,3,1.47,1.2
14.0,3,14.5,2,24.07,1.72
6.99,2,72.52,4,7.49,1.07
14.53,2,19.12,4,19.29,1.33
14.49,5,33.83,2,27.9,1.93
12.94,4,30.87,1,24.48,1.89
5.12,4,94.7,3,7.47,1.46
6.39,3,96.74,3,8.72,1.36
12.92,3,18.3,4,18.6,1.44
5.44,4,2.2,3,10.0,1.84
3.37,5,72.0,2,5.7,1.69
8.8,4,41.8,1,16.46,1.87
14.11,5,8.88,2,28.64,2.03
10.74,3,68.38,5,13.72,1.28
8.98,1,54.51,4,9.42,1.05
2.36,3,98.05,3,3.21,1.36
9.61,3,22.74,5,14.33,1.49
14.86,2,40.4,3,20.92,1.41
2.96,2,54.25,1,4.37,1.48
8.26,2,79.17,1,11.67,1.41
13.28,2,54.88,1,19.19,1.45
11.37,5,61.29,3,20.33,1.79
10.76,4,22.61,5,17.99,1.67
10.83,1,84.69,1,13.7,1.27
6.03,3,42.86,5,7.97,1.32
5.11,5,14.1,3,9.97,1.95
12.33,1,66.42,5,11.09,0.9
12.34,5,21.61,3,23.84,1.93
13.14,5,9.76,3,25.93,1.97
13.79,3,86.2,4,16.16,1.17
8.16,4,46.02,3,13.04,1.6
8.02,2,74.93,3,9.83,1.23
12.18,4,29.06,2,21.79,1.79
10.1,3,78.7,1,14.89,1.47
10.83,3,11.19,4,17.16,1.58
12.14,3,35.6,4,17.97,1.48
13.46,1,97.81,4,12.24,0.91
5.73,4,79.4,2,8.97,1.57
6.26,4,49.73,3,10.6,1.69
2.32,5,33.98,1,4.86,2.09
9.1,5,87.21,5,13.26,1.46
1.5,5,54.48,3,2.61,1.74
7.52,3,75.84,2,11.21,1.49
8.6,4,75.41,3,13.08,1.52
5.01,3,1.79,3,8.4,1.68
9.27,1,12.63,2,13.5,1.46
1.43,5,65.96,4,2.22,1.55
1.52,3,16.16,4,2.45,1.61
12.52,3,25.55,1,21.93,1.75
6.04,1,94.66,1,6.95,1.15
2.78,2,56.02,4,3.42,1.23
8.31,4,75.07,5,11.45,1.38
11.78,2,55.8,3,14.49,1.23
4.02,5,55.25,5,6.77,1.68
9.72,3,9.42,3,16.08,1.65
2.19,1,34.37,4,2.62,1.2
1.72,1,28.24,1,2.55,1.48
8.44,4,39.07,1,15.13,1.79
8.57,2,79.83,5,9.29,1.08
9.92,4,37.19,1,18.23,1.84
11.17,3,45.17,4,16.44,1.47
14.66,4,39.74,5,20.74,1.41
8.23,1,9.34,3,11.09,1.35
5.52,1,44.11,1,7.42,1.34
12.13,5,19.56,2,24.42,2.01
4.79,5,18.67,1,10.05,2.1
7.15,3,9.4,3,11.56,1.62
2.1,2,35.67,5,2.52,1.2
1.35,4,75.75,3,2.07,1.53
14.48,3,27.64,2,23.38,1.61
12.7,5,31.23,4,23.21,1.83
10.74,4,64.27,1,18.52,1.72
6.73,5,19.58,5,10.81,1.61
3.43,4,89.7,4,4.74,1.38
3.19,2,52.02,3,4.08,1.28
4.5,3,44.76,5,5.71,1.27
8.69,4,55.78,4,12.82,1.48
11.0,1,16.6,5,12.86,1.17
10.24,1,61.35,2,13.22,1.29
4.92,4,36.31,2,8.81,1.79
14.37,4,89.72,1,23.15,1.61
11.33,4,16.89,1,22.15,1.95
8.76,1,50.71,2,10.9,1.24
9.56,1,59.81,5,9.14,0.96
6.87,4,3.34,2,12.7,1.85
4.47,5,36.37,1,8.57,1.92
5.98,5,73.26,2,10.51,1.76
11.61,2,82.04,2,15.09,1.3
1.2,3,31.32,5,1.68,1.4
2.63,5,79.86,4,4.13,1.57
1.64,1,96.78,1,1.83,1.12
1.57,5,85.69,5,2.38,1.52
12.98,2,11.76,2,19.56,1.51
10.85,2,73.97,2,14.79,1.36
7.64,3,31.97,4,10.94,1.43
2.37,5,98.84,1,4.07,1.72
7.88,1,48.54,1,10.11,1.28
7.63,1,12.24,3,10.04,1.32
3.42,4,72.52,1,6.01,1.76
7.07,1,32.3,4,8.53,1.21
6.58,3,99.71,3,8.82,1.34
9.62,3,97.98,3,12.74,1.32
9.89,1,65.61,2,11.4,1.15
1.63,1,12.98,2,2.28,1.4
6.24,4,68.69,1,10.52,1.69
9.76,1,9.3,3,13.85,1.42
8.04,4,2.94,2,14.86,1.85
12.99,4,82.3,4,19.17,1.48
10.22,1,20.98,2,14.62,1.43
3.28,2,37.9,2,5.12,1.56
1.99,2,97.35,3,2.25,1.13
9.99,4,33.68,3,17.39,1.74
1.37,1,29.65,5,1.68,1.23
9.2,2,91.82,4,9.77,1.06
14.16,1,11.07,3,17.97,1.27
9.06,1,75.96,1,10.44,1.15
6.43,1,98.81,4,6.11,0.95
10.01,5,90.13,4,14.57,1.46
7.42,1,65.17,3,8.24,1.11
8.64,5,31.41,4,15.61,1.81
14.18,4,25.43,3,24.78,1.75
6.41,2,81.93,2,8.42,1.31
14.46,2,87.98,5,15.03,1.04
13.67,2,52.54,2,20.15,1.47
3.74,2,24.43,3,5.22,1.4
1.97,2,11.29,3,2.88,1.46
2.41,2,8.72,2,3.73,1.55
1.26,2,71.91,1,1.83,1.45
2.32,4,42.01,1,4.35,1.88
10.56,1,90.54,1,12.78,1.21
2.0,3,73.97,3,2.91,1.46
5.47,5,19.13,4,9.71,1.78
12.83,3,61.38,3,19.6,1.53
1.33,3,43.55,4,2.01,1.51
12.4,1,57.72,2,15.82,1.28
4.95,1,73.81,5,5.07,1.02
2.65,1,80.62,4,2.4,0.91
10.75,2,84.37,1,14.37,1.34
9.81,4,25.4,3,16.69,1.7
13.28,2,3.11,2,21.83,1.64
11.29,4,73.93,1,18.65,1.65
12.25,4,10.63,2,23.46,1.92
4.95,3,31.49,5,7.29,1.47
3.48,3,0.38,3,6.0,1.72
11.51,4,68.17,3,18.2,1.58
12.3,4,16.71,5,19.23,1.56
14.87,2,65.53,3,18.37,1.24
6.78,2,99.17,4,7.63,1.13
6.21,3,7.27,2,11.05,1.78
11.87,1,7.71,1,18.01,1.52
5.77,4,34.04,5,8.79,1.52
14.03,2,86.64,4,14.2,1.01
13.02,3,21.55,1,22.27,1.71
7.01,2,36.04,1,11.58,1.65
11.51,4,6.85,5,18.28,1.59
11.56,4,76.32,4,16.93,1.46
2.44,5,40.83,1,4.97,2.04
13.64,1,75.92,1,16.14,1.18
8.07,5,90.36,4,12.57,1.56
12.57,3,23.28,3,20.66,1.64
5.48,2,80.74,1,7.55,1.38
13.54,3,5.91,2,25.59,1.89
6.45,4,89.88,4,8.49,1.32
1.15,5,65.08,1,2.23,1.94
13.68,5,87.42,5,20.13,1.47
2.28,5,0.02,2,4.81,2.11
5.47,3,16.91,1,9.87,1.8
14.3,4,38.98,2,24.7,1.73
14.31,2,37.95,2,21.17,1.48
9.03,2,22.67,3,12.25,1.36
9.85,3,38.16,2,16.23,1.65
7.28,5,12.88,3,14.22,1.95
5.1,1,41.28,4,6.0,1.18
5.6,3,80.24,3,7.96,1.42
10.42,3,47.91,5,14.14,1.36
11.53,4,1.8,1,23.06,2.0
12.08,2,42.14,4,15.07,1.25
12.05,3,2.72,4,18.84,1.56
2.28,3,96.62,5,2.74,1.2
7.92,5,12.75,3,15.93,2.01
1.81,5,70.77,1,3.36,1.86
8.69,1,97.28,3,8.72,1.0
7.18,4,82.6,2,11.09,1.54
13.43,1,69.93,3,15.7,1.17
5.91,5,83.95,4,9.5,1.61
2.64,2,98.18,1,3.71,1.41
3.0,5,62.13,3,5.09,1.7
11.66,4,55.92,1,20.49,1.76
9.66,5,62.82,1,18.45,1.91
2.42,4,53.27,2,4.21,1.74
2.18,4,63.51,2,3.61,1.66
10.81,4,44.98,4,16.61,1.54
2.02,4,21.84,5,3.31,1.64
12.51,4,12.02,1,24.87,1.99
10.89,2,6.83,5,14.23,1.31
2.14,1,26.33,4,2.72,1.27
2.19,3,4.61,1,4.14,1.89
14.81,1,56.72,1,19.69,1.33
6.24,4,28.38,5,9.8,1.57
6.19,2,82.45,3,7.66,1.24
12.38,5,7.42,2,24.73,2.0
14.26,2,22.64,3,20.69,1.45
14.8,4,73.02,5,18.95,1.28
11.55,2,59.88,2,16.45,1.42
6.27,2,6.45,3,9.0,1.44
2.17,4,87.72,2,3.57,1.65
11.88,2,87.73,1,15.83,1.33
8.82,3,33.04,3,13.65,1.55
6.94,3,34.04,2,11.12,1.6
13.69,2,98.9,2,16.56,1.21
2.56,5,62.62,2,4.84,1.89
7.9,4,53.13,3,11.87,1.5
1.16,3,83.82,4,1.55,1.34
7.56,5,28.53,3,14.31,1.89
1.79,2,42.92,5,2.05,1.15
2.66,5,26.78,3,4.87,1.83
2.65,1,78.92,2,3.28,1.24
10.09,3,57.33,1,15.88,1.57
11.44,2,65.88,3,13.94,1.22
9.17,4,25.23,3,16.47,1.8
14.47,2,22.02,2,22.41,1.55
6.25,4,48.84,1,10.99,1.76
5.0,2,73.76,1,7.08,1.42
13.16,5,52.52,5,20.64,1.57
4.13,5,3.26,3,8.39,2.03
14.49,5,86.86,1,26.89,1.86
1.17,1,6.47,1,1.81,1.55
14.58,4,95.58,4,20.35,1.4
1.6,5,2.51,4,3.18,1.99
13.48,1,69.45,1,17.15,1.27
8.39,4,8.22,5,13.32,1.59
14.9,2,91.07,1,20.24,1.36
2.03,1,46.44,2,2.82,1.39
8.75,3,13.75,3,13.86,1.58
14.57,1,34.08,5,15.67,1.08
8.32,1,16.48,2,11.86,1.43
9.81,4,17.06,5,15.78,1.61
10.74,2,94.81,2,12.8,1.19
7.36,3,44.52,3,11.54,1.57
9.79,5,78.88,3,17.53,1.79
9.18,5,63.96,4,15.28,1.66
13.62,1,67.64,2,15.72,1.15
1.64,4,13.17,4,2.67,1.63
4.93,4,23.42,2,9.07,1.84
14.31,5,78.68,4,23.62,1.65
13.46,3,97.08,3,17.84,1.33
7.38,2,26.27,5,9.41,1.28
9.68,3,27.16,4,14.25,1.47
4.88,2,47.29,2,6.72,1.38
3.63,5,98.38,2,6.24,1.72
7.49,2,26.9,3,11.07,1.48
5.95,4,40.7,2,10.0,1.68
9.17,1,89.15,1,11.67,1.27
2.09,1,0.29,5,2.63,1.26
14.64,5,3.98,4,28.75,1.96
14.81,4,60.41,5,20.31,1.37
10.77,3,90.74,3,13.56,1.26
8.51,4,23.89,4,14.1,1.66
5.33,1,46.96,4,6.12,1.15
12.39,1,45.05,1,18.08,1.46
10.59,4,47.3,3,17.86,1.69
3.28,4,62.25,2,5.44,1.66
13.75,1,46.97,1,18.02,1.31
12.52,3,44.75,1,21.69,1.73
14.3,5,47.43,5,22.77,1.59
11.16,5,59.09,5,18.69,1.67
9.59,4,53.7,5,13.91,1.45
6.86,5,85.41,1,12.95,1.89
14.06,1,4.95,2,20.87,1.48
13.12,1,83.33,4,12.72,0.97
1.63,4,84.39,5,2.15,1.32
1.37,4,28.49,2,2.45,1.79
6.27,4,46.29,3,10.51,1.68
12.35,3,43.85,5,16.78,1.36
14.82,5,21.85,4,26.57,1.79
3.11,4,39.68,3,5.2,1.67
9.32,2,4.44,3,14.22,1.53
6.33,2,27.78,4,7.86,1.24
14.58,1,81.67,5,13.5,0.93
12.79,5,28.46,1,25.42,1.99
12.74,4,81.82,4,17.52,1.38
7.56,2,53.16,4,8.79,1.16
6.81,5,87.99,4,10.0,1.47
4.83,1,57.48,3,5.28,1.09
1.79,3,2.97,2,3.08,1.72
13.11,5,67.54,1,25.93,1.98
12.38,5,4.49,5,22.11,1.79
15.0,3,45.06,5,20.38,1.36
14.95,5,92.94,2,25.69,1.72
8.78,1,16.52,4,10.98,1.25
11.77,1,38.99,1,16.36,1.39
14.23,3,72.99,5,16.77,1.18
12.9,4,88.23,5,18.06,1.4
4.46,2,67.09,4,5.72,1.28
7.31,4,25.82,2,12.67,1.73
2.81,5,67.46,1,5.14,1.83
14.36,2,29.67,2,21.36,1.49
9.49,3,71.84,2,13.61,1.43
4.2,3,95.4,1,6.27,1.49
10.4,2,72.14,1,14.3,1.38
9.65,1,86.29,5,9.58,0.99
6.01,2,0.21,5,8.65,1.44
2.59,5,71.76,1,4.85,1.87
10.4,1,82.96,3,11.54,1.11
8.28,3,4.06,5,12.99,1.57
11.81,2,87.16,3,13.74,1.16
8.28,4,25.67,1,15.37,1.86
12.93,4,66.53,5,18.33,1.42
8.73,5,80.04,2,15.65,1.79
8.85,4,66.27,1,15.42,1.74
13.27,2,9.23,4,17.84,1.34
6.65,2,59.63,3,8.39,1.26
2.88,4,54.96,1,5.12,1.78
1.4,2,90.03,1,1.87,1.34
11.57,5,40.42,5,20.44,1.77
9.68,1,32.11,5,9.99,1.03
10.86,5,74.99,5,16.89,1.56
3.98,5,41.27,4,7.24,1.82
2.91,2,64.61,5,3.59,1.23
1.2,1,64.65,1,1.53,1.28
5.91,2,88.8,5,6.2,1.05
9.26,3,59.87,2,14.44,1.56
6.49,2,50.22,5,7.72,1.19
7.12,2,13.89,4,9.96,1.4
13.66,2,11.57,2,21.79,1.6
5.88,1,15.43,1,8.01,1.36
8.2,2,17.18,1,13.66,1.67
11.97,1,63.79,3,13.66,1.14
6.55,4,74.1,2,10.56,1.61
9.71,3,53.0,3,15.35,1.58
13.07,1,82.9,2,14.44,1.1
14.29,4,99.13,2,21.48,1.5
3.06,1,82.0,4,3.31,1.08
13.97,1,69.49,3,14.95,1.07
7.89,3,53.25,4,10.81,1.37
4.62,5,44.89,2,8.7,1.88
7.43,5,8.44,1,16.04,2.16
14.72,1,39.94,2,19.44,1.32
7.9,2,91.01,4,8.15,1.03
5.6,4,80.8,3,8.35,1.49
9.87,2,21.61,3,14.05,1.42
4.36,2,46.66,4,5.54,1.27
2.06,1,81.67,3,2.23,1.08
2.8,1,6.74,5,3.43,1.23
2.79,1,38.74,1,3.64,1.3
3.13,1,85.18,1,3.95,1.26
2.94,5,40.39,1,5.88,2.0
9.97,1,7.76,3,14.24,1.43
3.55,5,54.25,3,6.37,1.79
5.84,5,86.17,2,10.4,1.78
13.56,1,59.03,2,17.05,1.26
7.64,3,22.63,1,13.96,1.83
10.35,4,38.42,5,16.07,1.55
3.41,2,45.01,2,4.89,1.43
3.69,5,57.93,2,7.2,1.95
1.57,4,75.94,3,2.48,1.58
3.37,3,9.89,5,5.12,1.52
4.9,2,88.97,1,6.27,1.28
3.48,2,1.23,2,5.4,1.55
2.24,5,37.01,5,3.8,1.7
2.69,1,2.74,5,3.3,1.23
7.45,3,39.3,1,12.38,1.66
3.89,5,52.58,5,6.33,1.63
6.1,3,51.17,5,8.57,1.4
8.05,1,16.56,5,9.65,1.2
10.67,1,64.57,2,12.32,1.15
1.55,5,4.48,1,3.3,2.13
12.19,1,76.19,5,10.79,0.89
9.79,4,94.66,5,12.55,1.28
2.14,2,33.98,2,3.13,1.46
13.23,5,51.72,1,25.39,1.92
13.89,3,37.89,3,20.5,1.48
1.86,4,0.67,2,3.55,1.91
4.88,5,38.59,1,9.6,1.97
12.29,1,79.17,5,9.42,0.77
11.48,1,59.6,1,16.24,1.41
3.58,1,10.13,1,5.6,1.56
3.93,1,84.71,1,4.69,1.19
6.19,3,53.11,3,9.15,1.48
7.78,4,84.17,1,12.48,1.6
9.66,2,58.02,3,13.45,1.39
6.16,3,55.97,5,8.63,1.4
7.48,3,10.53,3,12.38,1.66
11.46,2,16.74,5,15.63,1.36
1.51,2,97.2,5,1.51,1.0
4.53,1,22.85,3,5.58,1.23
10.99,3,97.75,2,14.93,1.36
13.53,5,53.19,4,23.05,1.7
8.16,2,13.58,1,13.24,1.62
8.45,2,9.93,4,11.91,1.41
2.5,4,20.89,1,4.78,1.91
7.26,5,92.56,1,12.89,1.78
8.46,5,41.42,5,14.1,1.67
4.39,2,39.54,1,6.54,1.49
4.77,1,31.32,1,6.62,1.39
6.28,4,14.71,3,10.78,1.72
1.28,5,48.79,4,2.26,1.77
5.51,2,13.0,3,7.62,1.38
3.96,5,83.55,1,7.42,1.87
5.58,4,37.04,5,8.93,1.6
2.68,4,37.48,3,4.49,1.68
13.47,3,47.4,3,18.46,1.37
9.31,2,44.41,2,13.26,1.42
10.51,4,99.49,1,16.8,1.6
12.05,3,54.54,5,15.2,1.26
7.98,3,8.82,3,13.0,1.63
2.22,5,60.69,3,4.05,1.82
8.52,5,15.16,5,15.36,1.8
9.22,3,3.09,1,16.52,1.79
11.44,5,97.07,2,18.33,1.6
7.04,4,77.35,3,10.66,1.51
2.79,1,98.01,2,2.98,1.07
4.97,4,47.79,4,7.92,1.59
6.08,3,53.23,1,9.79,1.61
10.04,3,16.83,4,15.75,1.57
8.99,4,24.69,4,15.8,1.76
5.99,5,83.85,4,9.68,1.62
14.81,5,35.62,1,29.7,2.01
9.48,3,82.68,1,14.32,1.51
4.32,2,70.9,5,4.66,1.08
2.42,5,17.72,2,4.98,2.06
3.14,4,50.74,2,5.29,1.68
4.44,5,67.74,5,6.93,1.56
3.25,4,23.5,5,5.16,1.59
3.61,3,83.07,4,4.52,1.25
4.99,5,54.48,5,7.7,1.54
3.43,4,16.52,3,6.14,1.79
13.55,3,58.3,2,20.78,1.53
2.12,2,99.97,5,2.13,1.0
8.34,4,15.05,3,14.62,1.75
6.75,2,81.68,3,8.6,1.27
14.75,2,20.73,3,20.85,1.41
2.57,1,78.24,3,2.99,1.16
6.57,5,73.46,4,10.04,1.53
14.57,4,30.05,3,25.37,1.74
13.12,2,32.58,4,17.76,1.35
12.44,1,79.25,4,11.86,0.95
4.61,3,46.14,3,7.04,1.53
3.39,4,73.08,2,5.73,1.69
10.36,2,14.8,3,14.19,1.37
14.01,5,85.26,3,23.45,1.67
8.79,1,71.09,3,8.62,0.98
9.0,2,90.69,2,10.88,1.21
4.92,5,13.24,1,10.72,2.18
11.77,2,59.3,1,16.87,1.43
3.62,4,59.91,4,5.29,1.46
5.53,4,35.35,4,8.9,1.61
6.96,4,45.85,2,12.81,1.84
8.11,1,3.8,5,9.11,1.12
4.39,4,74.59,1,7.24,1.65
2.61,5,54.93,4,4.61,1.77
9.55,2,5.77,1,16.9,1.77
5.04,3,68.08,2,7.52,1.49
